Country,Year,gas,coal,oil
China,1960,2,748,23
China,1965,2,433,35
China,1970,6,666,95
China,1975,17,907,204
China,1980,27,1123,273
China,1985,25,1585,285
China,1990,29,1977,330
China,1995,42,2570,468
China,2000,60,2396,649
China,2005,85,4424,850
China,2010,200,6569, 1093
China,2015,367,7267, 1328
China,2020,605,7421,1612
Germany,1960,1,707,91
Germany,1965,6,717,218
Germany,1970,30,603,370
Germany,1975,89,516,377
Germany,1980,115,551,412
Germany,1985,109,579,340
Germany,1990,122,569,331
Germany,1995,153,406,351
Germany,2000,166,373,332
Germany,2005,173,363,305
Germany,2010,184,343,282
Germany,2015,157,341,273
Germany,2020,171,199,251
Japan,1960,2,139,81
Japan,1965,4,166,201
Japan,1970,8,229,503
Japan,1975,17,213,606
Japan,1980,48,224,631
Japan,1985,77,272,529
Japan,1990,119,318,671
Japan,1995,143,335,709
Japan,2000,171,372,676
Japan,2005,176,430,642
Japan,2010,213,446,522
Japan,2015,246,466,476
Japan,2020,217,403,377
United States,1960,630,918,1282
United States,1965,783,1091,1465
United States,1970,1059,1168,2038
United States,1975,992,1168,2267
United States,1980,1018,1484,2254
United States,1985,890,1684,2031
United States,1990,1034,1842,2138
United States,1995,1195,1942,2181
United States,2000,1258,2180,2469
United States,2005,1199,2215,2608
United States,2010,1309,2013,2251
United States,2015,1495,1505,2239
United States,2020,1655,889,2021
